"RESOURCE_DATE","HOSPITAL_ID","WARD","RESOURCE_TYPE","TOTAL_AVAILABLE","TOTAL_OCCUPIED"
"13-JUN-25","HOSP001","GeneralWard","bed","100","94"
"13-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"13-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"14-JUN-25","HOSP001","GeneralWard","bed","100","93"
"14-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"14-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"15-JUN-25","HOSP001","GeneralWard","bed","100","88"
"15-JUN-25","HOSP001","ICUWard","icu_bed","20","16"
"15-JUN-25","HOSP001","Ventilator","ventilator","15","10"
"16-JUN-25","HOSP001","GeneralWard","bed","100","86"
"16-JUN-25","HOSP001","ICUWard","icu_bed","20","15"
"16-JUN-25","HOSP001","Ventilator","ventilator","15","9"
"17-JUN-25","HOSP001","GeneralWard","bed","100","89"
"17-JUN-25","HOSP001","ICUWard","icu_bed","20","17"
"17-JUN-25","HOSP001","Ventilator","ventilator","15","11"
"18-JUN-25","HOSP001","GeneralWard","bed","100","92"
"18-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"18-JUN-25","HOSP001","Ventilator","ventilator","15","13"
"19-JUN-25","HOSP001","GeneralWard","bed","100","95"
"19-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"19-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"20-JUN-25","HOSP001","GeneralWard","bed","100","97"
"20-JUN-25","HOSP001","ICUWard","icu_bed","20","20"
"20-JUN-25","HOSP001","Ventilator","ventilator","15","15"
"21-JUN-25","HOSP001","GeneralWard","bed","100","96"
"21-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"21-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"22-JUN-25","HOSP001","GeneralWard","bed","100","91"
"22-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"22-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"23-JUN-25","HOSP001","GeneralWard","bed","100","88"
"23-JUN-25","HOSP001","ICUWard","icu_bed","20","17"
"23-JUN-25","HOSP001","Ventilator","ventilator","15","11"
"24-JUN-25","HOSP001","GeneralWard","bed","100","85"
"24-JUN-25","HOSP001","ICUWard","icu_bed","20","15"
"24-JUN-25","HOSP001","Ventilator","ventilator","15","9"
"25-JUN-25","HOSP001","GeneralWard","bed","100","87"
"25-JUN-25","HOSP001","ICUWard","icu_bed","20","16"
"25-JUN-25","HOSP001","Ventilator","ventilator","15","10"
"26-JUN-25","HOSP001","GeneralWard","bed","100","90"
"26-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"26-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"27-JUN-25","HOSP001","GeneralWard","bed","100","93"
"27-JUN-25","HOSP001","ICUWard","icu_bed","20","19"
"27-JUN-25","HOSP001","Ventilator","ventilator","15","13"
"28-JUN-25","HOSP001","GeneralWard","bed","100","95"
"28-JUN-25","HOSP001","ICUWard","icu_bed","20","20"
"28-JUN-25","HOSP001","Ventilator","ventilator","15","14"
"29-JUN-25","HOSP001","GeneralWard","bed","100","92"
"29-JUN-25","HOSP001","ICUWard","icu_bed","20","18"
"29-JUN-25","HOSP001","Ventilator","ventilator","15","12"
"30-JUN-25","HOSP001","GeneralWard","bed","100","89"
"30-JUN-25","HOSP001","ICUWard","icu_bed","20","17"
"30-JUN-25","HOSP001","Ventilator","ventilator","15","11"
